Date, Lens Id, Lens Name, Deposition Layers, CTC Index, CTC Thickness, CTC FSO, Front Mag 1, Front Mag 2, Front Mag 3, Back Mag 1, Back Mag 2, Back Mag 3, Power Front, Power Front Mode, Power Back, Power Back Mode, Frequency Front, Frequency Back, Reverse Time Front, Reverse Time Back, Stabilization, O2SCCM, ArFront SCCM, ArBack SCCM, Pressure, Percent O2, PID Control, PrePID, Proportional, Integral, Derivative, Sample Rate, Deposit Time Front, Deposit Time Back, Pre Burn, Condition Target
03/11/2013 16:00:18, 002, , 000, 100, 100, 000, OFF, OFF, OFF, OFF, ON, OFF, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
03/11/2013 16:02:25, 002, CAL GREEN AR WITH HYDRO, 000, 100, 100, 000, OFF, OFF, OFF, OFF, ON, OFF, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
03/11/2013 16:02:40, 002, CAL GREEN AR WITH HYDRO, 000, 100, 100, 000, OFF, OFF, OFF, OFF, ON, OFF, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
03/11/2013 16:06:33, 002, CAL GREEN AR WITH HYDRO, 001, 100, 100, 100, OFF, OFF, OFF, OFF, OFF, ON, 000, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
03/11/2013 16:08:00, 002, CAL GREEN AR WITH HYDRO, 001, 100, 100, 100, OFF, OFF, OFF, OFF, OFF, ON, 000, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
03/11/2013 16:08:16, 002, CAL GREEN AR WITH HYDRO, 001, 100, 100, 100, OFF, OFF, OFF, OFF, OFF, ON, 000, 001, 050, 001, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
, 000, CAL GREEN AR WITH HYDRO, 000, 000, 000, 000, OFF, OFF, OFF, OFF, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
, 000, , 000, 000, 000, 000, OFF, OFF, OFF, OFF, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
, 000, , 000, 000, 000, 000, OFF, OFF, OFF, OFF, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
, 000, , 000, 000, 000, 000, OFF, OFF, OFF, OFF, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, OFF, OFF, 000, 000, 000, 000, 000, 000, 000, OFF
